<End Header>
independent ^jj+pred+++=independent
on ^in++++=on
scale ^nn++++=scale
of ^in++++=of
consumption ^nn+nom+++=consumption,
, ^zz++++=extraword
the ^ati++++=the
model ^nn++++=model
expands ^vbz++++=expands
to ^to++++=to
allow ^vbi++++=allow
for ^in+ppvb+++=for
trade ^nn++++=trade
by ^in++++=by
assuming ^vb+vprv++xvbg+=assuming
that ^tht+vcmp+++=that
people ^nns++++=people
in ^in++++=in
both ^abx++++=both
countries ^nns++++=countries
demand ^nn++++=demand
both ^abx++++=both
goods ^nns++++=goods
and ^cc++++=and
tastes ^nns++++=tastes
preferences ^nns+nom+++=preferences
are ^vb+ber+vrb++=are
same ^ap++++=same
in ^in++++=in
both ^abx++++=both
countries ^nns++++=countries.
. ^zz++++=extraword
most ^ql+emph+++=most
importantly ^rb+cnj+++=importantly,
, ^zz++++=extraword
the ^ati++++=the
relative ^jj+atrb+++=relative
endowments ^nns+nom+++=endowments
of ^in++++=of
factors ^nns++++=factors
of ^in++++=of
production ^nn+nom+++=production
of ^in++++=of
both ^abx++++=both
countries ^nns++++=countries
are ^vb+ber+vrb++=are
different ^jj+pred+++=different.
. ^zz++++=extraword
relative ^jj+atrb+++=relative
endowments ^nns+nom+++=endowments
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
ratios ^nns++++=ratios
between ^in++++=between
capital ^nn++++=capital
stocks ^nns++++=stocks
and ^cc++++=and
the ^ati++++=the
labour ^nn++++=labour
forces ^nns++++=forces
in ^in++++=in
the ^ati++++=the
two ^cd++++=two
countries ^nns++++=countries.
. ^zz++++=extraword
formula ^nn++++=formula
( ^zz++++=(1.
1 ^zz++++=extraword
. ^zz++++=extraword
1 ^zz++++=1)
) ^zz++++=extraword
in ^in++++=in
equation ^nn+nom+++=equation
1 ^zz++++=1.
. ^zz++++=extraword
1 ^zz++++=1,
, ^zz++++=extraword
country ^nn++++=country
h ^zz++++=h
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
capital ^nn++++=capital-abundant
- ^zz++++=extraword
abundant ^jj++++=extraword
and ^cc++++=and
labour ^nn++++=labour-scarce
- ^zz++++=extraword
scarce ^jj++++=extraword
because ^cs+cos+++=because
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
a ^at++++=a
higher ^jjr+atrb+++=higher
capital ^nn++++=capital-labour
- ^zz++++=extraword
labour ^nn++++=extraword
ratio ^nn++++=ratio
while ^cs+sub+++=while
country ^nn++++=country
f ^zz++++=f
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
labour ^nn++++=labour-abundant
- ^zz++++=extraword
abundant ^jj++++=extraword
and ^cc++++=and
capital ^nn++++=capital-scarce.
- ^zz++++=extraword
scarce ^jj++++=extraword
. ^zz++++=extraword
the ^ati++++=the
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
model ^nn++++=model
assumes ^vbz+vprv+++=assumes
private ^jj+atrb+++=private
ownership ^nn+nom+++=ownership
of ^in++++=of
capital ^nn++++=capital.
. ^zz++++=extraword
owners ^nns++++=owners
of ^in++++=of
capital ^nn++++=capital
earn ^vb++++=earn
rents ^nns++++=rents,
, ^zz++++=extraword
r ^zz++++=r,
, ^zz++++=extraword
while ^cs+sub+++=while
labour ^nn++++=labour
receives ^vbz++++=receives
wages ^nns++++=wages,
, ^zz++++=extraword
w ^zz++++=w.
. ^zz++++=extraword
cost ^nn++++=cost
is ^vbz+bez+aux++=is
minimized ^vpsv++agls+xvbnx+=minimized
for ^in++++=for
production ^nn+nom+++=production
at ^rb++++=at
w ^zz++++=w/r.
therefore ^rb+cnj+++=therefore,
, ^zz++++=extraword
if ^cs+cnd+++=if
both ^abx++++=both
industries ^nns++++=industries
face ^vb++++=face
the ^ati++++=the
same ^ap++++=same
relative ^jj+atrb+++=relative
factor ^nn++++=factor
payments ^nns+nom+++=payments
w ^zz++++=w/r,
then ^rn+tm+++=then
the ^ati++++=the
industries ^nns++++=industries
will ^md+prd+++=will
choose ^vb++++=choose
their ^pp$+pp3+++=their
factor ^nn++++=factor
mixes ^vbz++++=mixes
such ^abl++++=such
that ^dt+dem+++=that
formula ^nn++++=formula
( ^zz++++=(1.
1 ^zz++++=extraword
. ^zz++++=extraword
2 ^zz++++=2)
) ^zz++++=extraword
similarly ^rb+cnj+++=similarly,
, ^zz++++=extraword
( ^zz++++=(w/r)y
w ^zz++++=extraword
> ^zz++++=>
( ^zz++++=(w/r)x.
w ^zz++++=extraword
as ^ql++++=as
w ^zz++++=w
increases ^vbz++++=increases
relative ^jj++++=relative
to ^in++++=to
r ^zz++++=r,
, ^zz++++=extraword
producers ^nns+nom+++=producers
will ^md+prd+++=will
be ^vb+be+vrb++=be
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
use ^vbi++++=use
more ^rbr++++=more
labour ^nn++++=labour
for ^in++++=for
production ^nn+nom+++=production
and ^cc++++=and
in ^in++++=in
equation ^nn+nom+++=equation
1 ^zz++++=1.
. ^zz++++=extraword
2 ^zz++++=2,
, ^zz++++=extraword
good ^jj++++=good
y ^zz++++=y
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
capital ^nn++++=capital-intensive
- ^zz++++=extraword
intensive ^jj++++=extraword
and ^cc+phrs+++=and
good ^jj++++=good
x ^zz++++=x
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
labour ^nn++++=labour-intensive
- ^zz++++=extraword
intensive ^jj++++=extraword
because ^cs+cos+++=because
the ^ati++++=the
capital ^nn++++=capital-labour
- ^zz++++=extraword
labour ^nn++++=extraword
ratio ^nn++++=ratio
used ^vwbn+++xvbn+=used
in ^in++++=in
production ^nn+nom+++=production
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher
in ^in++++=in
good ^jj++++=good
y ^zz++++=y
compared ^vbd+++xvbn+=compared
to ^in++++=to
good ^jj+atrb+++=good
x ^zz++++=x.
. ^zz++++=extraword
thus ^rb+cnj+++=thus,
, ^zz++++=extraword
country ^nn++++=country
h ^zz++++=h
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
capital ^nn++++=capital-intensive
- ^zz++++=extraword
intensive ^jj++++=extraword
produces ^vbz++++=produces
more ^rbr++++=more
of ^in++++=of
good ^jj++++=good
y ^zz++++=y
and ^cc++++=and
country ^nn++++=country
f ^zz++++=f
produces ^vbz++++=produces
more ^rbr++++=more
of ^in++++=of
good ^jj+atrb+++=good
x ^zz++++=x.
. ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbnx+=illustrated
in ^in++++=in
the ^ati++++=the
figure ^nn++++=figure
below ^in+strn+++=below.
. ^zz++++=extraword
in ^in++++=in
figure ^nn++++=figure
1 ^zz++++=1,
, ^zz++++=extraword
the ^ati++++=the
equilibrium ^nn++++=equilibrium
price ^nn++++=price
ratio ^nn++++=ratio
is ^vbz+bez+vrb++=is
steeper ^jjr+pred+++=steeper
in ^in++++=in
country ^nn++++=country
h ^zz++++=h
than ^in++++=than
country ^nn++++=country
f ^zz++++=f.
. ^zz++++=extraword
this ^dt+pdem+++=this
yields ^vbz++++=yields
formula ^nn++++=formula
( ^zz++++=(1.
1 ^zz++++=extraword
. ^zz++++=extraword
3 ^zz++++=3)
) ^zz++++=extraword
the ^ati++++=the
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
model ^nn++++=model
assumes ^vbz+vprv+++=assumes
that ^tht+vcmp+++=that
resource ^nn++++=resource
differences ^nns+nom+++=differences
are ^vb+ber+vrb++=are
the ^ati++++=the
only ^ap+down+++=only
source ^nn++++=source
of ^in++++=of
trade ^nn++++=trade.
. ^zz++++=extraword
countries ^nns++++=countries
have ^vb+hv+vrb++=have
different ^jj+atrb+++=different
factors ^nns++++=factors
of ^in++++=of
production ^nn+nom+++=production
and ^cc++++=and
each ^dt++++=each
good ^jj++++=good
requires ^vbz++++=requires
different ^jj+atrb+++=different
factors ^nns++++=factors
to ^to++++=to
produce ^vbi++++=produce
them ^pp3o+pp3+++=them.
. ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
affect ^vb++++=affect
comparative ^jj+atrb+++=comparative
advantage ^nn+nom+++=advantage.
. ^zz++++=extraword
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^np+nom++??+=equalisation
Theorem<one ^np+++??+=Theorem</heading>One
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
model ^nn++++=model
is ^vbz+bez+vrb++=is
the ^ati++++=the
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^np+nom++??+=equalisation
theorem ^nn++++=theorem.
. ^zz++++=extraword
free ^jj+atrb+++=free
trade ^nn++++=trade
will ^md+prd+++=will
influence ^nn+nom+++=influence
prices ^nns++++=prices
of ^in++++=of
goods ^nns++++=goods
and ^cc++++=and
this ^dt+dem+++=this
in ^in++++=in
turn ^nn++++=turn
influences ^nns+nom+++=influences
the ^ati++++=the
returns ^nns++++=returns
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
of ^in++++=of
production ^nn+nom+++=production.
. ^zz++++=extraword
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
relative ^jj+atrb+++=relative
good ^jj+atrb+++=good
prices ^nns++++=prices,
, ^zz++++=extraword
p ^zz++++=p,
, ^zz++++=extraword
and ^cc+cls+++=and
relative ^jj+atrb+++=relative
factor ^nn++++=factor
prices ^nns++++=prices,
, ^zz++++=extraword
w ^zz++++=w,
, ^zz++++=extraword
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbnx+=illustrated
below ^rb++++=below.
. ^zz++++=extraword
in ^in++++=in
figure ^nn++++=figure
2 ^zz++++=2,
, ^zz++++=extraword
the ^ati++++=the
initial ^jj+atrb+++=initial
equilibrium ^nn++++=equilibrium
is ^vbz+bez+vrb++=is
at ^rb++++=at
point ^nn++++=point
a ^at++++=a
where ^wrb+who+++=where
ya ^np+++??+=ya
and ^cc++++=and
xa ^np+++??+=xa
units ^nns++++=units
of ^in++++=of
goods ^nns++++=goods
are ^vb+ber+aux++=are
produced ^vpsv++agls+xvbnx+=produced.
. ^zz++++=extraword
the ^ati++++=the
equilibrium ^nn++++=equilibrium
price ^nn++++=price
ratio ^nn++++=ratio
is ^vbz+bez+vrb++=is
pa ^npt++++=pa.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
price ^nn++++=price
of ^in++++=of
good ^jj+atrb+++=good
x ^zz++++=x
to ^in++++=to
pb ^nn+++??+=pb,
, ^zz++++=extraword
production ^nn+nom+++=production
then ^rn+tm+++=then
shifts ^vbz++++=shifts
to ^in++++=to
point ^nn++++=point
b ^zz++++=b.
. ^zz++++=extraword
at ^rb++++=at
this ^dt+dem+++=this
point ^nn++++=point,
, ^zz++++=extraword
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
factor ^nn++++=factor
box ^nn++++=box
diagram ^nn++++=diagram
in ^in++++=in
figure ^nn++++=figure
3 ^zz++++=3,
, ^zz++++=extraword
the ^ati++++=the
wage ^nn++++=wage-rental
- ^zz++++=extraword
rental ^jj+atrb+++=extraword
ratio ^nn++++=ratio
is ^vbz+bez+vrb++=is
different ^jj+pred+++=different
from ^in++++=from
wa ^&fw++++=wa
of ^in++++=of
point ^nn++++=point
a ^at++++=a.
. ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
for ^in++++=for
constant ^jj++++=constant-returns-to-scale
- ^zz++++=extraword
returns ^vbz++++=extraword
- ^zz++++=extraword
to ^to++++=extraword
- ^zz++++=extraword
scale ^nn++++=extraword
production ^nn+nom+++=production
functions ^nns+nom+++=functions
and ^cc++++=and
homogeneous ^jj+atrb+++=homogeneous
preferences ^nns+nom+++=preferences,
, ^zz++++=extraword
all ^abn++++=all
isoquants ^nns+nom+++=isoquants
have ^vb+hv+vrb++=have
a ^at++++=a
constant ^jj+atrb+++=constant
slope ^nn++++=slope
along ^in++++=along
any ^dti++++=any
ray ^nn++++=ray
from ^in++++=from
the ^ati++++=the
origin ^nn++++=origin.
. ^zz++++=extraword
the ^ati++++=the
wage ^nn++++=wage-rental
- ^zz++++=extraword
rental ^jj+atrb+++=extraword
ratio ^nn++++=ratio
at ^rb++++=at
point ^nn++++=point
b ^zz++++=b
corresponds ^vbz++++=corresponds
to ^in++++=to
point ^nn++++=point
c ^zz++++=c.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
at ^rb++++=at
point ^nn++++=point
c ^zz++++=c,
, ^zz++++=extraword
the ^ati++++=the
slope ^nn++++=slope
is ^vbz+bez+vrb++=is
steeper ^jjr+pred+++=steeper
than ^in++++=than
the ^ati++++=the
slope ^nn++++=slope
of ^in++++=of
the ^ati++++=the
line ^nn++++=line
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
tangential ^jj+pred+++=tangential
to ^in++++=to
both ^abx++++=both
isoquants ^nns+nom+++=isoquants
at ^rb++++=at
point ^nn++++=point
a ^at++++=a.
. ^zz++++=extraword
thus ^rb+cnj+++=thus,
, ^zz++++=extraword
it ^pp3+it+++=it
follows ^vbz+vprv+++=follows
that ^tht+vcmp+++=that
the ^ati++++=the
wage ^nn++++=wage-rental
- ^zz++++=extraword
rental ^jj+atrb+++=extraword
ratio ^nn++++=ratio
at ^rb++++=at
point ^nn++++=point
c ^zz++++=c
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher
than ^in++++=than
point ^nn++++=point
a ^at++++=a
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
price ^nn++++=price
of ^in++++=of
good ^jj+atrb+++=good
x ^zz++++=x
will ^md+prd+++=will
increase ^vb++++=increase
the ^ati++++=the
relative ^nn++++=relative
return ^vb++++=return
to ^in++++=to
the ^ati++++=the
factor ^nn++++=factor
used ^vwbn+++xvbn+=used
intensively ^jj++++=intensively
in ^cs+sub+++=in
that ^cs"++++=that
industry ^nn++++=industry,
, ^zz++++=extraword
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
labour ^nn++++=labour.
. ^zz++++=extraword
economy ^nn++++=economy
would ^md+prd+++=would
then ^rn+tm+splt++=then
move ^vb++++=move
to ^to++++=to
produce ^vbi++++=produce
more ^rbr++++=more
of ^in++++=of
good ^jj+atrb+++=good
x ^zz++++=x
and ^cc++++=and
the ^ati++++=the
excess ^nn++++=excess
demand ^vb++++=demand
for ^in++++=for
labour ^nn++++=labour
would ^md+prd+++=would
cause ^vb++++=cause
a ^at++++=a
rise ^nn++++=rise
in ^in++++=in
w ^zz++++=w
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
new ^jj+atrb+++=new
equilibrium ^nn++++=equilibrium.
. ^zz++++=extraword
excess ^nn++++=excess
supply ^nn++++=supply
of ^in++++=of
capital ^nn++++=capital
will ^md+prd+++=will
bid ^vb++++=bid
the ^ati++++=the
rent ^nn++++=rent
of ^in++++=of
capital ^nn++++=capital
downwards ^rb++++=downwards.
. ^zz++++=extraword
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
relative ^jj+atrb+++=relative
good ^jj+atrb+++=good
prices ^nns++++=prices
and ^cc++++=and
relative ^jj+atrb+++=relative
factor ^nn++++=factor
prices ^nns++++=prices
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
factor ^nn++++=factor
intensity ^nn+nom+++=intensity
reversal ^nn+nom+++=reversal
is ^vbz+bez+vrb++=is
a ^at++++=a
one ^cd1++++=one-to-one
- ^zz++++=extraword
to ^to++++=extraword
- ^zz++++=extraword
one ^cd1++++=extraword
mapping ^nn++++=mapping
as ^in++++=as
in ^in"++++=in
figure ^nn++++=figure
4 ^zz++++=4.
. ^zz++++=extraword
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
unit ^nn++++=unit-value
- ^zz++++=extraword
value ^nn++++=extraword
isoquant ^nn+nom+++=isoquant
can ^md+pos+++=can
illustrate ^nn+nom+++=illustrate
the ^ati++++=the
theorem ^nn++++=theorem
best ^jjt++++=best.
. ^zz++++=extraword
a ^at++++=a
unit ^nn++++=unit-value
- ^zz++++=extraword
value ^nn++++=extraword
isoquant ^nn+nom+++=isoquant
is ^vbz+bez+vrb++=is
a ^at++++=a
locus ^nn++++=locus
of ^in++++=of
input ^nn++++=input
combinations ^nns+nom+++=combinations
that ^tht+rel+subj++=that
yield ^vb++++=yield
$ ^zz++++=$1
1 ^zz++++=extraword
worth ^nn++++=worth
of ^in++++=of
output ^nn++++=output.
. ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbnx+=illustrated
in ^in++++=in
figure ^nn++++=figure
5 ^zz++++=5.
. ^zz++++=extraword
different ^jj+atrb+++=different
production ^nn+nom+++=production
functions ^nns+nom+++=functions
yield ^vb++++=yield
different ^jj+atrb+++=different
unit ^nn++++=unit-value
- ^zz++++=extraword
value ^nn++++=extraword
isoquants ^nns+nom+++=isoquants.
. ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
the ^ati++++=the
x ^zz++++=x
and ^cc++++=and
y ^zz++++=y
isoquants ^nns+nom+++=isoquants
intersect ^nn+++??+=intersect
in ^in++++=in
figure ^nn++++=figure
6 ^zz++++=6.
. ^zz++++=extraword
in ^in++++=in
figure ^nn++++=figure
6 ^zz++++=6,
, ^zz++++=extraword
an ^at++++=an
isocost ^nn+++??+=isocost
line ^nn++++=line
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
tangent ^nn++++=tangent
to ^in++++=to
both ^abx++++=both
unit ^nn++++=unit-value
- ^zz++++=extraword
value ^nn++++=extraword
isoquants ^nns+nom+++=isoquants
is ^vbz+bez+aux++=is
chosen ^vpsv++agls+xvbnx+=chosen.
. ^zz++++=extraword
this ^dt+dem+++=this
isocost ^nn+++??+=isocost
line ^nn++++=line
has ^vbz+hvz+vrb++=has
an ^at++++=an
intercept ^nn++++=intercept
of ^in++++=of
1 ^zz++++=1/ra
( ^zz++++=(one
one ^cd1++++=extraword
dollar ^nn++++=dollar's
's ^$++++=extraword
worth ^nn++++=worth
of ^in++++=of
capital ^nn++++=capital)
) ^zz++++=extraword
and ^cc++++=and
1 ^zz++++=1/wa
( ^zz++++=(one
one ^cd1++++=extraword
dollar ^nn++++=dollar's
's ^$++++=extraword
worth ^nn++++=worth
of ^in++++=of
labour ^nn++++=labour).
) ^zz++++=extraword
. ^zz++++=extraword
the ^ati++++=the
isocost ^nn+++??+=isocost
line ^nn++++=line
is ^vbz+bez+vrb++=is
also ^rb++++=also
an ^at++++=an
indication ^nn+nom+++=indication
of ^in++++=of
cost ^nn++++=cost
minimisation ^nn+nom+++=minimisation
and ^cc++++=and
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
both ^abx++++=both
goods ^nns++++=goods
are ^vb+ber+aux++=are
produced ^vpsv++agls+xvbnx+=produced.
. ^zz++++=extraword
if ^cs+cnd+++=if
a ^at++++=a
unit ^nn++++=unit-value
- ^zz++++=extraword
value ^nn++++=extraword
isoquant ^nn+nom+++=isoquant
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
tangent ^nn++++=tangent
to ^in++++=to
the ^ati++++=the
isocost ^nn+++??+=isocost
lines ^nns++++=lines,
, ^zz++++=extraword
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
factor ^nn++++=factor
prices ^nns++++=prices
( ^zz++++=(w,r)
w,r ^nn+++??+=extraword
) ^zz++++=extraword
will ^md+prd+++=will
not ^xnot++not++=not
prevail ^vb++++=prevail
because ^cs+cos+++=because
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
specialisation ^nn+nom+++=specialisation
in ^in++++=in
only ^rb+down+++=only
one ^cd1++++=one
good ^jj++++=good
in ^in++++=in
the ^ati++++=the
economy ^nn++++=economy.
. ^zz++++=extraword
therefore ^rb+cnj+++=therefore,
, ^zz++++=extraword
for ^in++++=for
both ^abx++++=both
goods ^nns++++=goods
to ^to++++=to
be ^vbi+vbi+aux++=be
produced ^vpsv++agls+xvbnx+=produced,
, ^zz++++=extraword
the ^ati++++=the
isocost ^nn+++??+=isocost
line ^nn++++=line
must ^md+nec+++=must
be ^vb+be+vrb++=be
tangent ^nn++++=tangent
to ^in++++=to
both ^abx++++=both
isoquants ^nns+nom+++=isoquants.
. ^zz++++=extraword
the ^ati++++=the
region ^nn++++=region
between ^in++++=between
kx ^nn+++??+=kx
and ^cc++++=and
ky ^nn+++??+=ky
in ^in++++=in
figure ^nn++++=figure
6 ^zz++++=6
is ^vbz+bez+vrb++=is
the ^ati++++=the
diversification ^nn+nom+++=diversification
cone ^nn++++=cone.
. ^zz++++=extraword
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
factor ^nn++++=factor
endowment ^nn+nom+++=endowment
combinations ^nns+nom+++=combinations
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
producing ^xvbg+++xvbg+=producing
the ^ati++++=the
same ^ap++++=same
set ^nn+++xvbn+=set
of ^in++++=of
goods ^nns++++=goods
and ^cc++++=and
having ^vbg+hvg++xvbg+=having
the ^ati++++=the
same ^ap++++=same
factor ^nn++++=factor
prices ^nns++++=prices.
. ^zz++++=extraword
if ^cs+cnd+++=if
the ^ati++++=the
endowment ^nn+nom+++=endowment
ratio ^nn++++=ratio
just ^rb+emph+++=just
equals ^nns++++=equals
kx ^nn+++??+=kx
or ^cc++++=or
ky ^nn+++??+=ky,
, ^zz++++=extraword
the ^ati++++=the
economy ^nn++++=economy
specialises ^vbz++++=specialises
in ^in++++=in
only ^rb+down+++=only
one ^cd1++++=one
good ^jj++++=good,
, ^zz++++=extraword
x ^zz++++=x,
, ^zz++++=extraword
or ^cc+cls+++=or
